epidemiological_week,date,order_for_place,state,city,city_ibge_code,place_type,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,new_confirmed,last_available_deaths,new_deaths,last_available_death_rate,estimated_population,is_last,is_repeated
202213,2022-03-27,746,PE,Recife,2611606,city,157567,9529.52625,0,5505,0,0.0349,1653461,False,True
202212,2022-03-26,745,PE,Recife,2611606,city,157567,9529.52625,0,5505,0,0.0349,1653461,False,True
202212,2022-03-25,744,PE,Recife,2611606,city,157567,9529.52625,0,5505,0,0.0349,1653461,False,True
202212,2022-03-24,743,PE,Recife,2611606,city,157567,9529.52625,0,5505,0,0.0349,1653461,False,True
202212,2022-03-23,742,PE,Recife,2611606,city,157567,9529.52625,0,5505,0,0.0349,1653461,False,True
202212,2022-03-22,741,PE,Recife,2611606,city,157567,9529.52625,0,5505,0,0.0349,1653461,False,True
202212,2022-03-21,740,PE,Recife,2611606,city,157567,9529.52625,0,5505,0,0.0349,1653461,False,True
202212,2022-03-20,739,PE,Recife,2611606,city,157567,9529.52625,0,5505,0,0.0349,1653461,False,True
202211,2022-03-19,738,PE,Recife,2611606,city,157567,9529.52625,0,5505,0,0.0349,1653461,False,True
202211,2022-03-18,737,PE,Recife,2611606,city,157567,9529.52625,0,5505,0,0.0349,1653461,False,True
202211,2022-03-17,736,PE,Recife,2611606,city,157567,9529.52625,0,5505,0,0.0349,1653461,False,True
202211,2022-03-16,735,PE,Recife,2611606,city,157567,9529.52625,0,5505,0,0.0349,1653461,False,True
202211,2022-03-15,734,PE,Recife,2611606,city,157567,9529.52625,0,5505,0,0.0349,1653461,False,True
202211,2022-03-14,733,PE,Recife,2611606,city,157567,9529.52625,0,5505,0,0.0349,1653461,False,True
202211,2022-03-13,732,PE,Recife,2611606,city,157567,9529.52625,0,5505,0,0.0349,1653461,False,True
202210,2022-03-12,731,PE,Recife,2611606,city,157567,9529.52625,0,5505,0,0.0349,1653461,False,True
202210,2022-03-11,730,PE,Recife,2611606,city,157567,9529.52625,0,5505,0,0.0349,1653461,False,True
202210,2022-03-10,729,PE,Recife,2611606,city,157567,9529.52625,0,5505,0,0.0349,1653461,False,True
202210,2022-03-09,728,PE,Recife,2611606,city,157567,9529.52625,0,5505,0,0.0349,1653461,False,True
202210,2022-03-08,727,PE,Recife,2611606,city,157567,9529.52625,0,5505,0,0.0349,1653461,False,True
202210,2022-03-07,726,PE,Recife,2611606,city,157567,9529.52625,0,5505,0,0.0349,1653461,False,True
202210,2022-03-06,725,PE,Recife,2611606,city,157567,9529.52625,0,5505,0,0.0349,1653461,False,True
202209,2022-03-05,724,PE,Recife,2611606,city,157567,9529.52625,0,5505,0,0.0349,1653461,False,True
202209,2022-03-04,723,PE,Recife,2611606,city,157567,9529.52625,0,5505,0,0.0349,1653461,False,True
202209,2022-03-03,722,PE,Recife,2611606,city,157567,9529.52625,0,5505,0,0.0349,1653461,False,True
202209,2022-03-02,721,PE,Recife,2611606,city,157567,9529.52625,0,5505,0,0.0349,1653461,False,True
202209,2022-03-01,720,PE,Recife,2611606,city,157567,9529.52625,0,5505,0,0.0349,1653461,False,True
202209,2022-02-28,719,PE,Recife,2611606,city,157567,9529.52625,0,5505,0,0.0349,1653461,False,True
202209,2022-02-27,718,PE,Recife,2611606,city,157567,9529.52625,0,5505,0,0.0349,1653461,False,True
202208,2022-02-26,717,PE,Recife,2611606,city,157567,9529.52625,0,5505,0,0.0349,1653461,False,True
202208,2022-02-25,716,PE,Recife,2611606,city,157567,9529.52625,0,5505,0,0.0349,1653461,False,True
202208,2022-02-24,715,PE,Recife,2611606,city,157567,9529.52625,0,5505,0,0.0349,1653461,False,True
202208,2022-02-23,714,PE,Recife,2611606,city,157567,9529.52625,0,5505,0,0.0349,1653461,False,True
202208,2022-02-22,713,PE,Recife,2611606,city,157567,9529.52625,0,5505,0,0.0349,1653461,False,True
202208,2022-02-21,712,PE,Recife,2611606,city,157567,9529.52625,0,5505,0,0.0349,1653461,False,True
202208,2022-02-20,711,PE,Recife,2611606,city,157567,9529.52625,0,5505,0,0.0349,1653461,False,True
202207,2022-02-19,710,PE,Recife,2611606,city,157567,9529.52625,0,5505,0,0.0349,1653461,False,True
202207,2022-02-18,709,PE,Recife,2611606,city,157567,9529.52625,0,5505,0,0.0349,1653461,False,True
202207,2022-02-17,708,PE,Recife,2611606,city,157567,9529.52625,0,5505,0,0.0349,1653461,False,True
202207,2022-02-16,707,PE,Recife,2611606,city,157567,9529.52625,0,5505,0,0.0349,1653461,False,True
202207,2022-02-15,706,PE,Recife,2611606,city,157567,9529.52625,0,5505,0,0.0349,1653461,False,True
202207,2022-02-14,705,PE,Recife,2611606,city,157567,9529.52625,0,5505,0,0.0349,1653461,False,True
202207,2022-02-13,704,PE,Recife,2611606,city,157567,9529.52625,0,5505,0,0.0349,1653461,False,True
202206,2022-02-12,703,PE,Recife,2611606,city,157567,9529.52625,0,5505,0,0.0349,1653461,False,True
202206,2022-02-11,702,PE,Recife,2611606,city,157567,9529.52625,0,5505,0,0.0349,1653461,False,True
